metric,value
split_planning_seconds,65.32833050000045
boundary_review_seconds,0.0015835000012884848
cleanup_seconds,103.0505198000028
chain_count,3
cleanup_group_count,3
cleanup_input_subtitles,185
cleanup_changed_subtitles,0
cleanup_deleted_subtitles,0
cleanup_retained_originals,185
aligned_chunks,3
fallback_chunks,0
tokenless_chunks,0
merged_chains,0
left_merged_subtitles,1
stripped_sentence_periods,97
boundary_review_moves,0
longest_chain_chunks,1
longest_chain_seconds,265.80800000000005
subtitles_before_cleanup,185
