chunk_index,vad_group_index,start,end,duration_sec,vad_activation,vad_peak,selected_for_transcription
0,0,26.968000,50.792000,23.824000,0.943305,1.000000,true
1,0,50.872000,80.872000,30.000000,0.979381,1.000000,true
2,0,80.504000,104.712000,24.208000,0.932491,1.000000,true
3,0,106.424000,107.208000,0.784000,0.387401,0.922671,true
4,0,109.368000,135.656000,26.288000,0.930449,1.000000,true
5,0,135.416000,165.416000,30.000000,0.984105,1.000000,true
6,0,165.048000,166.856000,1.808000,0.893330,1.000000,true
7,0,166.648000,196.648000,30.000000,0.971961,1.000000,true
8,0,196.280000,223.144000,26.864000,0.980610,1.000000,true
9,0,223.000000,228.232000,5.232000,0.886007,1.000000,true
10,1,246.296000,254.280000,7.984000,0.943670,1.000000,true
11,1,255.224000,260.680000,5.456000,0.931252,1.000000,true
12,1,260.408000,290.408000,30.000000,0.981909,1.000000,true
13,1,290.040000,297.096000,7.056000,0.950945,1.000000,true
14,1,297.656000,317.128000,19.472000,0.977386,1.000000,true
15,1,317.336000,342.920000,25.584000,0.958452,1.000000,true
16,1,345.496000,347.688000,2.192000,0.813524,0.999999,true
17,1,347.672000,377.672000,30.000000,0.970401,1.000000,true
18,1,377.304000,406.280000,28.976000,0.941389,1.000000,true
19,1,406.328000,434.056000,27.728000,0.966895,1.000000,true
20,1,435.416000,465.416000,30.000000,0.988064,1.000000,true
21,1,465.048000,469.448000,4.400000,0.937436,1.000000,true
22,1,470.744000,476.552000,5.808000,0.868910,1.000000,true
23,1,478.872000,479.528000,0.656000,0.303766,0.997998,true
24,1,480.696000,491.016000,10.320000,0.937927,1.000000,true
25,1,490.808000,512.104000,21.296000,0.958511,1.000000,true
26,2,520.088000,524.072000,3.984000,0.865592,0.999999,true
27,2,525.624000,530.248000,4.624000,0.906490,1.000000,true
28,2,532.984000,549.640000,16.656000,0.931376,1.000000,true
29,2,551.416000,571.016000,19.600000,0.954794,1.000000,true
30,2,571.256000,589.640000,18.384000,0.953757,1.000000,true
31,2,591.256000,606.504000,15.248000,0.946263,1.000000,true
32,2,609.208000,614.312000,5.104000,0.914386,1.000000,true
33,2,615.640000,616.360000,0.720000,0.378894,0.966503,true
34,2,618.968000,635.368000,16.400000,0.926168,1.000000,true
35,2,635.384000,653.032000,17.648000,0.948806,1.000000,true
36,2,654.648000,684.648000,30.000000,0.982255,1.000000,true
37,2,684.280000,702.024000,17.744000,0.955203,1.000000,true
